Coin,Shariah Status
CVX,Non-Shariah
IOST,Shariah
INJ,Non-Shariah
XPR,Grey
ZRX,Shariah
1INCH,Non-Shariah
ASD,Grey
AAVE,Non-Shariah
ACH,Shariah
ALGO,Shariah
ALBT,Grey
ALPHA,Non-Shariah
AMP,Grey
ANC,Non-Shariah
ANKR,Non-Shariah
ANT,Shariah
AR,Shariah
AUDIO,Shariah
AVAX,Shariah
AXS,Shariah
BAKE,Non-Shariah
BAL,Shariah
BNT,Shariah
BAT,Shariah
BFC,Shariah
BNB,Grey
BIT,Non-Shariah
BTC,Shariah
BCH,Shariah
BTG,Shariah
BSV,Shariah
BTT,Shariah
ADA,Shariah
CSPR,Shariah
CELR,Non-Shariah
CELO,Shariah
CEL,Non-Shariah
LINK,Shariah
CHZ,Shariah
CHR,Shariah
C98,Non-Shariah
COMP,Non-Shariah
ATOM,Shariah
CRO,Grey
CRV,Non-Shariah
DASH,Shariah
DFI,Non-Shariah
MANA,Shariah
DCR,Shariah
DGB,Shariah
XDB,Shariah
DOGE,Shariah
OMI,Shariah
ETN,Shariah
EPS,Grey
EGLD,Shariah
ENJ,Shariah
MLN,Non-Shariah
EOS,Shariah
ETH,Shariah
ETC,Shariah
FTM,Non-Shariah
FET,Shariah
FIL,Shariah
FTT,Grey
GALA,Shariah
GT,Grey
GNO,Shariah
GLM,Shariah
ONE,Shariah
HTR,Shariah
HBAR,Shariah
HNT,Shariah
HIVE,Shariah
HOT,Shariah
ZEN,Shariah
HT,Grey
IDEX,Non-Shariah
RLC,Shariah
ICX,Shariah
ICP,Shariah
IOTA,Shariah
IOTX,Shariah
JST,Non-Shariah
KOK,Shariah
KDA,Shariah
KAI,Shariah
KAVA,Non-Shariah
KEEP,Grey
KLAY,Shariah
KCS,Grey
KSM,Shariah
KNC,Non-Shariah
LINA,Non-Shariah
LSK,Shariah
LTC,Shariah
LPT,Shariah
LRC,Non-Shariah
MKR,Non-Shariah
MDX,Shariah
MED,Shariah
MTL,Shariah
MINA,Shariah
MBOX,Non-Shariah
XMR,Shariah
MOVR,Shariah
ALICE,Shariah
NANO,Shariah
NEAR,Shariah
XEM,Shariah
NEO,Shariah
CKB,Shariah
NEXO,Non-Shariah
NU,Shariah
OMG,Shariah
ROSE,Non-Shariah
OCEAN,Shariah
OKB,Grey
ONT,Shariah
ORC,Shariah
ORN,Shariah
CAKE,Non-Shariah
PERP,Non-Shariah
XPRT,Shariah
ARRR,Shariah
DOT,Shariah
MATIC,Shariah
POLY,Shariah
Prom,Shariah
PUNDIX,Shariah
QTUM,Shariah
QNT,Shariah
RLY,Shariah
RVN,Shariah
REN,Shariah
RNDR,Shariah
REV,Shariah
RBN,Non-Shariah
XRP,Shariah
SBR,Grey
SRM,Grey
SHIB,Non-Shariah
SC,Shariah
SKL,Shariah
SOL,Shariah
SLIM,Shariah
STX,Shariah
XLM,Shariah
STORJ,Shariah
SUN,Non-Shariah
SUSHI,Non-Shariah
SXP,Non-Shariah
CHSB,Non-Shariah
XYM,Shariah
SNX,Non-Shariah
TEL,Shariah
LUNA,Non-Shariah
XTZ,Shariah
GRT,Shariah
SAND,Shariah
TFUEL,Shariah
THETA,Shariah
RUNE,Shariah
TITAN,Shariah
TKO,Grey
TRX,Non-Shariah
UOS,Shariah
UMA,Non-Shariah
UNI,Shariah
LEO,Grey
UTK,Shariah
VET,Shariah
VLX,Shariah
XVG,Shariah
VTHO,Shariah
VGX,Non-Shariah
WAXP,Shariah
Wemix,Non-Shariah
WIN,Shariah
WAN,Shariah
WAVES,Shariah
WOO,Non-Shariah
XDC,Shariah
XYO,Shariah
YFI,Non-Shariah
ZEC,Shariah
ZIL,Shariah
DYDX,Non-Shariah
